Date	Tmax	Tmin	Rh	Rad	Prec	LAI	NEE	RE	GEE
2003/1/1	9.48	7.43	94.75833333	57.57905676	0.5	2.6	-0.043542122	1.26126864	1.217726518
2003/1/2	11.67	8.21	91.19895833	118.5086844	3.1	2.6	0.861832584	1.270594808	2.132427392
2003/1/3	13	5.633	80.11729167	789.928517	1.5	2.6	2.015154687	1.216750318	3.231905006
2003/1/4	11.04	3.986	73.03291667	441.5864632	0	2.6	2.126655342	1.215860161	3.342515503
2003/1/5	10.89	7.553	66.45666667	385.1421346	0	2.6	1.526209014	1.246384552	2.772593565
2003/1/6	8.47	3.439	91.02166667	63.53185654	22.2	2.6	-0.199337641	1.148287373	0.948949732
2003/1/7	8.08	2.251	86.21666667	460.6791474	0	2.6	1.998206148	0.977338202	2.97554435
2003/1/8	7.981	1.992	84.37291667	393.1289238	0	2.6	2.866111585	0.865231403	3.731342988
2003/1/9	13.17	5.822	79.024375	474.6263238	0	2.5	2.709021483	1.044659366	3.75368085
2003/1/10	13.58	6.823	62.5775	779.802262	0	2.5	2.226820777	1.090514617	3.317335394
2003/1/11	14.42	5.391	53.65625	763.2807058	0	2.5	3.003835996	1.058179229	4.062015224
2003/1/12	15.13	7.674	47.71520833	769.8007446	0	2.5	3.232518545	1.082209816	4.314728361
2003/1/13	17.13	9.34	44.43125	751.1751592	0	2.5	3.247925605	1.233895946	4.481821551
2003/1/14	18.07	11	43.166875	732.2973472	0	2.5	2.937721883	1.308626961	4.246348844
2003/1/15	18.14	9.83	50.08791667	732.8872658	0	2.5	3.13018026	1.370395873	4.500576134
2003/1/16	18.01	9.86	64.20770833	647.232503	0	2.5	3.344518284	1.411845952	4.756364236
2003/1/17	18.91	11.57	67.66270833	587.4898834	0	2.4	4.464075806	1.475990451	5.940066257
2003/1/18	20.82	13.43	63.47208333	634.2388684	0	2.4	2.730029195	1.556169451	4.286198646
2003/1/19	20.59	14.68	62.44041667	659.2474148	0	2.4	2.628974807	1.571874987	4.200849794
2003/1/20	19.67	12.34	64.32333333	615.759533	0	2.4	2.574998387	1.660436658	4.235435045
2003/1/21	17.63	12.91	76.08270833	473.3008206	0	2.4	1.102352956	1.657540591	2.759893547
2003/1/22	21.41	11.84	76.78729167	598.7180146	0	2.4	1.837375799	1.667985335	3.505361134
2003/1/23	16.09	11.58	64.15291667	563.9694328	0	2.4	0.996215442	1.924476422	2.920691864
2003/1/24	14.35	12.78	81.49520833	23.30657898	0	2.4	-0.656900545	1.621981517	0.965080971
2003/1/25	19.4	13.91	92.51041667	81.38383554	0.4	2.4	0.45945005	1.662336502	2.121786551
2003/1/26	20.04	12.44	91.58333333	156.099965	0.1	2.4	-0.078897811	1.951816141	1.87291833
2003/1/27	12.13	7.268	70.29375	544.1690132	0	2.4	1.863003671	1.451155477	3.314159148
2003/1/28	12.75	5.534	60.46645833	760.5694982	0	2.4	2.432521139	1.125845329	3.558366467
2003/1/29	14.42	8.71	51.70291667	475.1166024	0	2.4	2.659800184	1.389873076	4.04967326
